word, result, link
monarchy, Monarchy, https://en.wikipedia.org/wiki/Monarchy
senate, Senate, https://en.wikipedia.org/wiki/Senate
minister, Minister (government), https://en.wikipedia.org/wiki/Minister_(government)
solution, Solution, https://en.wikipedia.org/wiki/Solution
prudence, Prudence, https://en.wikipedia.org/wiki/Prudence
enrollment, Matriculation, https://en.wikipedia.org/wiki/Matriculation
run, Running (disambiguation), https://en.wikipedia.org/wiki/Running_(disambiguation)
stalls, Stall (disambiguation), https://en.wikipedia.org/wiki/Stall
stage, Stage (theatre)), https://en.wikipedia.org/wiki/Stage_(theatre)
set, Set (disambiguation), https://en.wikipedia.org/wiki/Set
land, Land, https://en.wikipedia.org/wiki/Land
club, Club (organization), https://en.wikipedia.org/wiki/Club_(organization)
service, Public service, https://en.wikipedia.org/wiki/Public_service
transport, Transport, https://en.wikipedia.org/wiki/Transport
construction, Construction, https://en.wikipedia.org/wiki/Construction
team, Team, https://en.wikipedia.org/wiki/Team
offers, Offer (disambiguation), https://en.wikipedia.org/wiki/Offer
emitting, Emit (disambiguation), https://en.wikipedia.org/wiki/Emit
controls, Control (disambiguation), https://en.wikipedia.org/wiki/Control
anger, Hal Anger, https://en.wikipedia.org/wiki/Hal_Anger
shock, DualShock, https://en.wikipedia.org/wiki/DualShock
rumble, Haptic technology, https://en.wikipedia.org/wiki/Haptic_technology
developed, Software development, https://en.wikipedia.org/wiki/Software_development
composed, Musical composition, https://en.wikipedia.org/wiki/Musical_composition
calm, Calmness, https://en.wikipedia.org/wiki/Calmness
states, Federated state, https://en.wikipedia.org/wiki/Federated_state
state, Federated state, https://en.wikipedia.org/wiki/Federated_state
council, Council, https://en.wikipedia.org/wiki/Council
branch, Separation of powers, https://en.wikipedia.org/wiki/Separation_of_powers
grew, Development of the human body, https://en.wikipedia.org/wiki/Development_of_the_human_body
exposed, Expose (disambiguation), https://en.wikipedia.org/wiki/Expose
charge, Charge (disambiguation), https://en.wikipedia.org/wiki/Charge
